timestamp,Zone,Shift,Pressure_PSI,Temperature_C,Flow_Rate_LPM
2026-07-01 18:28:00,Zone_South,Night,159.44340733429894,83.59992233371547,693.4130878562681
2026-06-26 10:10:00,Zone_Central,,271.3255433985529,54.10838201644788,933.5908826268039
2026-06-29 22:10:00,Zone_Central,Morning,207.83227861725234,72.54921430425296,863.5405493301178
2026-06-30 07:22:00,Zone_East,Night,203.11088280870914,73.0294839733721,1189.537649826362
2026-07-01 02:28:00,Zone_North,Morning,239.77349552056523,73.75276174694109,983.6725593384319
2026-06-29 18:04:00,Zone_Central,Morning,170.6795493211896,54.308328015554864,1062.156470152124
2026-06-28 08:34:00,Zone_West,Afternoon,274.5342040093328,60.53191111794156,745.4577290519184
2026-06-26 12:30:00,Zone_South,Morning,252.74698884241522,64.76322872816482,1052.4188243052577
2026-07-01 04:38:00,Zone_West,Afternoon,129.69005494602135,79.99085450013344,1192.9555422262915
2026-06-25 23:30:00,Zone_West,Afternoon,209.57686080551636,81.82216685518891,1193.1614144314865
2026-06-28 07:08:00,Zone_East,Morning,177.465891884867,55.87949291933526,1223.344805125405
2026-06-25 17:40:00,Zone_South,Afternoon,131.2588972649647,53.01281944295285,1252.3269130579806
2026-06-26 02:40:00,Zone_East,Morning,156.75237045794148,68.85784995595378,911.4078289928816
2026-07-01 06:48:00,Zone_North,Afternoon,189.45044179162065,75.28128217844133,1084.999269435212
2026-06-27 00:32:00,Zone_East,Morning,124.92402852146562,70.53486118282432,1049.4770997753621
2026-06-26 22:22:00,Zone_North,Morning,264.7042298427124,64.2728534165679,1191.1446879889172
2026-06-30 01:38:00,Zone_West,Night,257.3295104811277,67.63979353076768,620.3458730895521
2026-06-29 10:38:00,Zone_East,Morning,250.3286059231995,66.52873734929179,1224.05711880324
2026-06-28 17:02:00,Zone_East,Night,276.4279062605932,54.67277929282327,745.0503618841398
2026-06-28 21:44:00,Zone_East,Night,217.09756924814855,84.73680438330271,1225.705379566285
2026-06-25 02:10:00,Zone_West,Afternoon,277.5863625627047,83.20113049063704,
2026-06-25 05:14:00,Zone_Central,Afternoon,254.7794134109315,68.06693271036805,1224.660570261707
2026-06-29 12:00:00,Zone_West,Night,258.80916599128614,84.37664136724266,830.9280484678436
2026-06-30 16:42:00,Zone_West,Night,177.00048686380822,68.590216711573,668.8109084576286
2026-06-25 20:52:00,ZONE_SOUTH,Night,217.4446311531065,54.757302552408646,820.4767478165193
2026-06-27 17:30:00,Zone_North,Morning,154.60815044738592,83.21144784007289,1172.9105421714455
2026-06-26 23:56:00,Zone_South,Morning,226.51446964114248,53.76646214951861,729.4483965284106
